"Activity_ID","ActivityNumber","ActivityName","SeasonName","ChildSeasonName","Type","Status","CategoryName","OtherCategoryName","RiskCategoryName","EnrollMin","EnrollMax","NumberEnrolled","BeginningDate","EndingDate","StartingTime","EndingTime","AgesMin","AgesMinMonth","AgesMinWeek","AgesMax","AgesMaxMonth","AgesMaxWeek","GradeMin","GradeMax","WeekDays","PrimaryInstructorName","NumberOfHours","NumberOfDates","ActivityLocation","FeeDescription","AccountName","KeyFeesTotal","OtherFeesTotal","FeeSummary","Description","PublicURL"
75961,"251.2.0620","Drawing & Sketching- Beginning","Fall 2018","--","Classes","Open","Active Adults (50+) Classes","Almaden Community Center",,12,"20",9,"9/19/18","10/31/18","1:00 PM","3:00 PM",50,0,0,0,0,0,,,"W","Cairns, Chris","14.000",7,"AL Room 4 at Almaden Community Center","Program Fee","Almaden Sr - Classes","67.00","-8.00","Member: $59.00. Non-member: $67.00","Drawing is an acquired skill.  Anyone can learn to draw!  All you need is a pencil, paper, and a willingness to tap into your hidden artistic skills.  Learn how to get proportions and perspectives right.  Find out how to draw reflections, design strong compositions, choose materials.  How to make basic shapes and forms, create the illusion of volume with light, shading and contours.  Draw people, animals, landscapes, a still life and more.  Give yourself more confidence in your ability and deepen your artistic perception.  Engage the left, artistic side of your brain.","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/75961"
75962,"251.2.0622","Drawing & Sketching- Beginning","Fall 2018","--","Classes","Open","Active Adults (50+) Classes","Almaden Community Center",,12,"20",0,"11/14/18","12/12/18","1:00 PM","3:00 PM",50,0,0,0,0,0,,,"W","Cairns, Chris","10.000",5,"AL Room 4 at Almaden Community Center","Program Fee","Almaden Sr - Classes","53.00","-8.00","Member: $45.00. Non-member: $53.00","Drawing is an acquired skill.  Anyone can learn to draw!  All you need is a pencil, paper, and a willingness to tap into your hidden artistic skills.  Learn how to get proportions and perspectives right.  Find out how to draw reflections, design strong compositions, choose materials.  How to make basic shapes and forms, create the illusion of volume with light, shading and contours.  Draw people, animals, landscapes, a still life and more.  Give yourself more confidence in your ability and deepen your artistic perception.  Engage the left ?artistic? side of your brain.","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/75962"
75963,"251.2.0601","Enhance Fitness","Fall 2018","--","Classes","Open","Active Adults (50+) Classes","Almaden Community Center",,10,"20",2,"9/11/18","10/4/18","8:00 AM","9:00 AM",50,0,0,0,0,0,,,"Tu Th","Esmaili, Anahita","8.000",8,"AL Dance Studio at Almaden Community Center","Program Fee","Almaden Sr - Classes","48.00","-8.00","Member: $40.00. Non-member: $48.00","Becoming fit just became a whole lot more fun! This is an  evidence based group fitness class designed specifically for active adults.  Enhance Fitness is a group exercise class that improves your balance,  flexibility, bone density, endurance, coordination, mental sharpness and  decreases your risk of falling through a structured exercise program that is  adaptable to all fitness levels from beginning to advanced. ","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/75963"
75964,"251.2.1810","Feldenkrais","Fall 2018","--","Classes","Open","Active Adults (50+) Classes","Almaden Community Center",,12,"40",5,"9/17/18","12/10/18","10:00 AM","11:00 AM",50,0,0,0,0,0,,,"M","McCarten, Joan","10.000",10,"AL Gymnasium at Almaden Community Center","Program Fee","Almaden Sr - Classes","57.00","-8.00","Member: $49.00. Non-member: $57.00","Awareness  through movement. Help improve your flexibility and reduce muscular tension  while enhancing mobility, balance, and coordination. Safe comfortable movement  sequences from a certified teacher. Ideal for people with arthritis,  fibromyalgia, and other painful conditions.","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/75964"
75965,"251.2.1811","Feldenkrais","Fall 2018","--","Classes","Open","Active Adults (50+) Classes","Almaden Community Center",,12,"40",8,"9/21/18","12/14/18","9:40 AM","10:40 AM",50,0,0,0,0,0,,,"F","McCarten, Joan","12.000",12,"AL Gymnasium at Almaden Community Center","Program Fee","Almaden Sr - Classes","66.00","-8.00","Member: $58.00. Non-member: $66.00","Awareness  through movement. Help improve your flexibility and reduce muscular tension  while enhancing mobility, balance, and coordination. Safe comfortable movement  sequences from a certified teacher. Ideal for people with arthritis,  fibromyalgia, and other painful conditions.","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/75965"
75967,"251.2.1927","Happy Singers (Group Singing)","Fall 2018","--","Classes","Open","Active Adults (50+) Classes","Almaden Community Center",,12,"25",0,"9/7/18","10/19/18","1:00 PM","3:00 PM",50,0,0,0,0,0,,,"F","Tan, Sally","14.000",7,"AL Room 4 at Almaden Community Center","Program Fee","Almaden Sr - Classes","60.00","-8.00","Member: $52.00. Non-member: $60.00","This group is open to anyone who has a love for singing. If you play an instrument, stop by when the group meets and offer musical support for the singers! No singing experience is required. ","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/75967"
75968,"251.2.1928","Happy Singers (Group Singing)","Fall 2018","--","Classes","Open","Active Adults (50+) Classes","Almaden Community Center",,12,"25",0,"10/26/18","12/14/18","1:00 PM","3:00 PM",50,0,0,0,0,0,,,"F","Tan, Sally","12.000",6,"AL Room 4 at Almaden Community Center","Program Fee","Almaden Sr - Classes","52.00","-8.00","Member: $44.00. Non-member: $52.00","This group is open to anyone who has a love for singing. If you play an instrument, stop by when the group meets and offer musical support for the singers! No singing experience is required.","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/75968"
75980,"251.2.1801","International Cuisine","Fall 2018","--","Classes","Open","Active Adults (50+) Classes","Almaden Community Center",,7,"15",0,"11/16/18","11/16/18","10:00 AM","12:00 PM",50,0,0,0,0,0,,,"F","Department, Staff","2.000",1,"AL Teaching Kitchen at Almaden Community Center","Program Fee","Almaden Sr - Classes","49.00","-8.00","Member: $41.00. Non-member: $49.00","In our International Class, we will take you on a delicious culinary tour. Your instructor will walk you through the steps of preparing cuisines from around the world with hands on instructions. Our cooking courses provide an authentic and educational cooking experience that is rich in both culture and cuisine. You will receive a hard copy of recipes and substantial tasting of all prepared dishes.","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/75980"
75970,"251.2.1813","International Cuisine","Fall 2018","--","Classes","Open","Active Adults (50+) Classes","Almaden Community Center",,7,"15",0,"9/21/18","9/21/18","10:00 AM","12:00 PM",50,0,0,0,0,0,,,"F","Department, Staff","2.000",1,"AL Teaching Kitchen at Almaden Community Center","Program Fee","Almaden Sr - Classes","49.00","-8.00","Member: $41.00. Non-member: $49.00","In our International Class, we will take you on a delicious culinary tour. Your instructor will walk you through the steps of preparing cuisines from around the world with hands on instructions. Our cooking courses provide an authentic and educational cooking experience that is rich in both culture and cuisine.","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/75970"
75971,"251.2.1814","International Cuisine","Fall 2018","--","Classes","Open","Active Adults (50+) Classes","Almaden Community Center",,7,"15",0,"10/19/18","10/19/18","10:00 AM","12:00 PM",50,0,0,0,0,0,,,"F","Department, Staff","2.000",1,"AL Teaching Kitchen at Almaden Community Center","Program Fee","Almaden Sr - Classes","49.00","-8.00","Member: $41.00. Non-member: $49.00","In our International Class, we will take you on a delicious culinary tour. Your instructor will walk you through the steps of preparing cuisines from around the world with hands on instructions. Our cooking courses provide an authentic and educational cooking experience that is rich in both culture and cuisine.","http://apm.activecommunities.com/sanjoseparksandrec/Activity_Search/75971"
